year,Number_URC_fulltime,number_URC_sworn,number_URC_non_sworn
1992,779914,569703,210211
1993,799373,579488,219885
1994,838109,603099,235010
1995,873356,629762,243594
1996,892262,640492,251770
1997,890389,642753,247636
1998,930310,666492,263818
1999,962122,680934,281188
2000,975511,690195,285316
2001,1003441,705559,297882
2002,1011967,705871,306096
2003,1017718,712371,305347
2004,1039931,725334,314597
2005,1044228,727084,317144
2006,1066024,740592,325432
2007,1095989,751526,344463
2008,1099463,762944,336519
2009,1102599,764635,337964
2010,1089054,758854,330200
2011,1098778,768287,330491
2012,1076054,750340,325714
